epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,35.1794,1.69197,2.10987,1.30533,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.00029302,0.00029302,0.00029302
13,37.2288,1.65456,0.85612,1.03066,0.99557,0.95455,0.99167,0.75899,0.98333,0.65053,0.99427,0.000302,0.000302,0.000302
14,39.4489,1.47361,0.843,1.11117,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00030834,0.00030834,0.00030834
15,41.6527,1.57614,0.82104,0.94371,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00031204,0.00031204,0.00031204
16,43.7286,1.28694,0.79372,1.07519,0.99727,1,0.995,0.74891,0.97128,0.69321,1.00308,0.0003131,0.0003131,0.0003131
17,45.8062,1.46275,1.02142,1.1729,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.00031152,0.00031152,0.00031152
18,47.9392,1.43659,0.95012,1.13361,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.0003073,0.0003073,0.0003073
19,50.1231,1.49131,0.88352,0.98745,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00030044,0.00030044,0.00030044
20,52.2187,1.60103,0.82458,0.94488,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00029094,0.00029094,0.00029094
21,54.8559,1.73638,0.84612,1.04294,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.0002788,0.0002788,0.0002788
22,58.681,1.45174,0.87206,1.18019,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.00026402,0.00026402,0.00026402
23,62.4447,1.34364,0.93684,0.96136,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.0002466,0.0002466,0.0002466
24,64.4522,1.5098,0.76493,0.97547,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.00022654,0.00022654,0.00022654
25,66.5807,1.18944,0.6492,1.03011,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00020384,0.00020384,0.00020384
26,68.6388,1.31873,0.78693,1.01186,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.0001785,0.0001785,0.0001785
27,70.7946,1.19733,0.66512,1.02586,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00015052,0.00015052,0.00015052
28,72.9283,1.81412,0.87555,1.28293,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,0.0001199,0.0001199,0.0001199
29,74.9956,1.72657,0.75877,1.03093,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,8.664e-05,8.664e-05,8.664e-05
30,77.1328,1.7243,0.78091,1.06064,0.99725,1,0.995,0.77792,0.90692,0.60925,0.97509,5.074e-05,5.074e-05,5.074e-05
1,1.01413,2.28774,3.50895,1.39621,0.10283,0.09091,0.02473,0.0026,1.40007,4.26677,1.24146,2e-05,2e-05,2e-05
2,2.70525,2.21124,3.51451,1.24895,0.15906,0.18182,0.04623,0.00753,1.323,3.78671,1.21401,5.802e-05,5.802e-05,5.802e-05
3,6.41557,2.71188,2.64128,1.2492,0.16479,0.18182,0.07916,0.01984,1.19808,3.26727,1.1681,9.34e-05,9.34e-05,9.34e-05
4,10.1273,1.95624,3.31797,1.28672,0.72174,0.82552,0.81158,0.60118,0.97131,1.24717,1.04787,0.00012614,0.00012614,0.00012614
5,13.808,1.90298,1.44053,1.13465,0.70552,0.72727,0.80956,0.6051,0.97727,1.24752,1.04918,0.00015624,0.00015624,0.00015624
6,17.39,1.88476,1.26638,1.08133,0.88205,0.95455,0.97987,0.73833,0.94242,1.00767,1.00691,0.0001837,0.0001837,0.0001837
7,21.0431,1.74214,1.18957,1.16539,1,0.94217,0.98885,0.77017,0.91438,0.95245,0.96961,0.00020852,0.00020852,0.00020852
8,24.7481,1.77549,1.12265,1.12941,1,0.99394,0.995,0.74678,0.88934,1.3776,0.94608,0.0002307,0.0002307,0.0002307
9,26.9267,1.52511,1.09897,1.03537,0.99108,1,0.995,0.76201,0.91919,0.90853,0.96871,0.00025024,0.00025024,0.00025024
10,29.1297,1.696,0.91342,1.27198,0.95325,1,0.99326,0.7852,0.88327,0.65793,0.96875,0.00026714,0.00026714,0.00026714
11,32.7944,1.69638,1.80373,1.26741,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.0002814,0.0002814,0.0002814
12,34.9264,1.69197,2.10987,1.30533,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.00029302,0.00029302,0.00029302
13,37.1012,1.65456,0.85612,1.03066,0.99557,0.95455,0.99167,0.75899,0.98333,0.65053,0.99427,0.000302,0.000302,0.000302
14,39.3407,1.47361,0.843,1.11117,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00030834,0.00030834,0.00030834
15,41.4423,1.57614,0.82104,0.94371,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00031204,0.00031204,0.00031204
16,43.6319,1.28694,0.79372,1.07519,0.99727,1,0.995,0.74891,0.97128,0.69321,1.00308,0.0003131,0.0003131,0.0003131
17,45.7662,1.46275,1.02142,1.1729,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.00031152,0.00031152,0.00031152
18,47.9287,1.43659,0.95012,1.13361,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.0003073,0.0003073,0.0003073
19,50.096,1.49131,0.88352,0.98745,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00030044,0.00030044,0.00030044
20,52.3078,1.60103,0.82458,0.94488,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00029094,0.00029094,0.00029094
21,54.9341,1.73638,0.84612,1.04294,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.0002788,0.0002788,0.0002788
22,58.8324,1.45174,0.87206,1.18019,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.00026402,0.00026402,0.00026402
23,62.5903,1.34364,0.93684,0.96136,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.0002466,0.0002466,0.0002466
24,64.6737,1.5098,0.76493,0.97547,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.00022654,0.00022654,0.00022654
25,66.8997,1.18944,0.6492,1.03011,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00020384,0.00020384,0.00020384
26,69.086,1.31873,0.78693,1.01186,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.0001785,0.0001785,0.0001785
27,71.1677,1.19733,0.66512,1.02586,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00015052,0.00015052,0.00015052
28,73.3392,1.81412,0.87555,1.28293,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,0.0001199,0.0001199,0.0001199
29,75.5329,1.72657,0.75877,1.03093,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,8.664e-05,8.664e-05,8.664e-05
30,77.6768,1.7243,0.78091,1.06064,0.99725,1,0.995,0.77792,0.90692,0.60925,0.97509,5.074e-05,5.074e-05,5.074e-05
1,1.01924,2.28774,3.50895,1.39621,0.10283,0.09091,0.02473,0.0026,1.40007,4.26677,1.24146,2e-05,2e-05,2e-05
2,2.64189,2.21124,3.51451,1.24895,0.15906,0.18182,0.04623,0.00753,1.323,3.78671,1.21401,5.802e-05,5.802e-05,5.802e-05
3,6.38951,2.71188,2.64128,1.2492,0.16479,0.18182,0.07916,0.01984,1.19808,3.26727,1.1681,9.34e-05,9.34e-05,9.34e-05
4,10.1182,1.95624,3.31797,1.28672,0.72174,0.82552,0.81158,0.60118,0.97131,1.24717,1.04787,0.00012614,0.00012614,0.00012614
5,13.8463,1.90298,1.44053,1.13465,0.70552,0.72727,0.80956,0.6051,0.97727,1.24752,1.04918,0.00015624,0.00015624,0.00015624
6,17.4504,1.88476,1.26638,1.08133,0.88205,0.95455,0.97987,0.73833,0.94242,1.00767,1.00691,0.0001837,0.0001837,0.0001837
7,21.0766,1.74214,1.18957,1.16539,1,0.94217,0.98885,0.77017,0.91438,0.95245,0.96961,0.00020852,0.00020852,0.00020852
8,24.7226,1.77549,1.12265,1.12941,1,0.99394,0.995,0.74678,0.88934,1.3776,0.94608,0.0002307,0.0002307,0.0002307
9,26.8081,1.52511,1.09897,1.03537,0.99108,1,0.995,0.76201,0.91919,0.90853,0.96871,0.00025024,0.00025024,0.00025024
10,29.0526,1.696,0.91342,1.27198,0.95325,1,0.99326,0.7852,0.88327,0.65793,0.96875,0.00026714,0.00026714,0.00026714
11,32.7507,1.69638,1.80373,1.26741,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.0002814,0.0002814,0.0002814
12,34.9572,1.69197,2.10987,1.30533,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.00029302,0.00029302,0.00029302
13,37.0556,1.65456,0.85612,1.03066,0.99557,0.95455,0.99167,0.75899,0.98333,0.65053,0.99427,0.000302,0.000302,0.000302
14,39.173,1.47361,0.843,1.11117,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00030834,0.00030834,0.00030834
15,41.3033,1.57614,0.82104,0.94371,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00031204,0.00031204,0.00031204
16,43.3856,1.28694,0.79372,1.07519,0.99727,1,0.995,0.74891,0.97128,0.69321,1.00308,0.0003131,0.0003131,0.0003131
17,45.5475,1.46275,1.02142,1.1729,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.00031152,0.00031152,0.00031152
18,47.6801,1.43659,0.95012,1.13361,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.0003073,0.0003073,0.0003073
19,49.8486,1.49131,0.88352,0.98745,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00030044,0.00030044,0.00030044
20,51.9784,1.60103,0.82458,0.94488,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00029094,0.00029094,0.00029094
21,54.7042,1.73638,0.84612,1.04294,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.0002788,0.0002788,0.0002788
22,58.4651,1.45174,0.87206,1.18019,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.00026402,0.00026402,0.00026402
23,62.1682,1.34364,0.93684,0.96136,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.0002466,0.0002466,0.0002466
24,64.2986,1.5098,0.76493,0.97547,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.00022654,0.00022654,0.00022654
25,66.3866,1.18944,0.6492,1.03011,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00020384,0.00020384,0.00020384
26,68.4499,1.31873,0.78693,1.01186,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.0001785,0.0001785,0.0001785
27,70.6625,1.19733,0.66512,1.02586,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00015052,0.00015052,0.00015052
28,72.7453,1.81412,0.87555,1.28293,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,0.0001199,0.0001199,0.0001199
29,74.9037,1.72657,0.75877,1.03093,0.99661,1,0.995,0.78189,0.90627,0.62387,0.97473,8.664e-05,8.664e-05,8.664e-05
30,76.9883,1.7243,0.78091,1.06064,0.99725,1,0.995,0.77792,0.90692,0.60925,0.97509,5.074e-05,5.074e-05,5.074e-05
